"id","p_hollande","p_sarkozy"
"01",42.77,57.23
"02",52.4,47.6
"03",56.89,43.11
"04",51.06,48.94
"05",50.89,49.11
"06",35.69,64.31
"07",53.45,46.55
"08",51.89,48.11
"09",64.69,35.31
"10",42.63,57.37
"11",56.25,43.75
"12",54.42,45.58
"13",47.17,52.83
"14",53.12,46.88
"15",51.8,48.2
"16",58.83,41.17
"17",51.57,48.43
"18",54.04,45.96
"19",64.86,35.14
"2A",42.4,57.6
"2B",45.59,54.41
"21",48.45,51.55
"22",59.19,40.81
"23",61.02,38.98
"24",59.14,40.86
"25",48.09,51.91
"26",49.18,50.82
"27",47.55,52.45
"28",46.53,53.47
"29",58.86,41.14
"30",48.8,51.2
"31",58.78,41.22
"32",56.64,43.36
"33",56.61,43.39
"34",51.31,48.69
"35",55.71,44.29
"36",55.66,44.34
"37",51.23,48.77
"38",52.12,47.88
"39",49.42,50.58
"40",56.99,43.01
"41",47.57,52.43
"42",50.5,49.5
"43",51.38,48.62
"44",56.35,43.65
"45",45.97,54.03
"46",61.89,38.11
"47",51.35,48.65
"48",49.95,50.05
"49",48.85,51.15
"50",49.9,50.1
"51",44.69,55.31
"52",45.57,54.43
"53",46.93,53.07
"54",53.06,46.94
"55",46.2,53.8
"56",51.73,48.27
"57",46.5,53.5
"58",58.81,41.19
"59",52.88,47.12
"60",47.34,52.66
"61",47.11,52.89
"62",56.18,43.82
"63",60.47,39.53
"64",57.12,42.88
"65",62.47,37.53
"66",50.59,49.41
"67",36.56,63.44
"68",36.67,63.33
"69",47.98,52.02
"70",49.64,50.36
"71",51.86,48.14
"72",52.67,47.33
"73",47.07,52.93
"74",39.9,60.1
"75",55.6,44.4
"76",54.94,45.06
"77",49.25,50.75
"78",45.7,54.3
"79",57.31,42.69
"80",54.41,45.59
"81",55.55,44.45
"82",51.25,48.75
"83",37.36,62.64
"84",43.57,56.43
"85",44.4,55.6
"86",57.16,42.84
"87",63.99,36.01
"88",49.06,50.94
"89",46.88,53.12
"90",50.52,49.48
"91",53.43,46.57
"92",49.48,50.52
"93",65.32,34.68
"94",56.48,43.52
"95",53.91,46.09
"ZA",71.94,28.06
"ZB",68.43,31.57
"ZC",62.05,37.95
"ZD",71.49,28.51
"ZM",49.05,50.95
"ZN",36.97,63.03
"ZP",46.94,53.06
"ZS",65.31,34.69
"ZW",56.06,43.94
"ZX",40.57,59.43
"ZZ",46.95,53.05
